"id" "运动员" "射击环数"
"67" "7" "列昂尼德.叶基莫夫" 10.1
"68" "8" "列昂尼德.叶基莫夫" 10.2
"69" "9" "列昂尼德.叶基莫夫" 9.4
"70" "10" "列昂尼德.叶基莫夫" 10.3
"71" "11" "列昂尼德.叶基莫夫" 10.4
"72" "12" "列昂尼德.叶基莫夫" 9.8
"73" "13" "列昂尼德.叶基莫夫" 8.9
"74" "14" "列昂尼德.叶基莫夫" 10
"75" "15" "列昂尼德.叶基莫夫" 10
"76" "16" "列昂尼德.叶基莫夫" 9.1
"77" "17" "列昂尼德.叶基莫夫" 9.5
"78" "18" "列昂尼德.叶基莫夫" 9.8
"79" "19" "列昂尼德.叶基莫夫" 10.7
"80" "20" "列昂尼德.叶基莫夫" 10
"81" "1" "基思.桑德森" 9.7
"82" "2" "基思.桑德森" 10.5
"83" "3" "基思.桑德森" 9
"84" "4" "基思.桑德森" 9.6
"85" "5" "基思.桑德森" 9
"86" "6" "基思.桑德森" 9.9
"87" "7" "基思.桑德森" 9.2
"88" "8" "基思.桑德森" 9.7
"89" "9" "基思.桑德森" 9.9
"90" "10" "基思.桑德森" 8.1
"91" "11" "基思.桑德森" 9.3
"92" "12" "基思.桑德森" 10.1
"93" "13" "基思.桑德森" 10.5
"94" "14" "基思.桑德森" 10.2
"95" "15" "基思.桑德森" 10
"96" "16" "基思.桑德森" 9.9
"97" "17" "基思.桑德森" 9.5
"98" "18" "基思.桑德森" 9.7
"99" "19" "基思.桑德森" 9.9
"100" "20" "基思.桑德森" 9.9
"101" "1" "罗曼.邦达鲁克" 9.8
"102" "2" "罗曼.邦达鲁克" 9.2
"103" "3" "罗曼.邦达鲁克" 10.3
"104" "4" "罗曼.邦达鲁克" 7.2
"105" "5" "罗曼.邦达鲁克" 9.9
"106" "6" "罗曼.邦达鲁克" 10.5
"107" "7" "罗曼.邦达鲁克" 10.4
"108" "8" "罗曼.邦达鲁克" 10.9
"109" "9" "罗曼.邦达鲁克" 10.5
"110" "10" "罗曼.邦达鲁克" 10.3
"111" "11" "罗曼.邦达鲁克" 10.2
"112" "12" "罗曼.邦达鲁克" 10
"113" "13" "罗曼.邦达鲁克" 9.8
"114" "14" "罗曼.邦达鲁克" 9.2
"115" "15" "罗曼.邦达鲁克" 8.3
"116" "16" "罗曼.邦达鲁克" 9
"117" "17" "罗曼.邦达鲁克" 9.4
"118" "18" "罗曼.邦达鲁克" 9.8
"119" "19" "罗曼.邦达鲁克" 10.4
"120" "20" "罗曼.邦达鲁克" 9.6
